Hotspot_Name,Bird_Name
Taughannock Falls SP,Peregrine Falcon
Taughannock Falls SP,American Crow
Taughannock Falls SP,Common Raven
Taughannock Falls SP,Black-capped Chickadee
Taughannock Falls SP,Dark-eyed Junco
Taughannock Falls SP,Ring-billed Gull
Taughannock Falls SP,Herring Gull
Taughannock Falls SP,Mallard
Taughannock Falls SP,Common Merganser
Taughannock Falls SP,Double-crested Cormorant
Taughannock Falls SP,Hairy Woodpecker
Taughannock Falls SP,Turkey Vulture
Taughannock Falls SP,Downy Woodpecker
Taughannock Falls SP,woodpecker sp.
Taughannock Falls SP,Blue Jay
Taughannock Falls SP,Eastern Screech-Owl
Taughannock Falls SP,Red-tailed Hawk
Taughannock Falls SP,Pileated Woodpecker
Taughannock Falls SP,Tufted Titmouse
Taughannock Falls SP,White-breasted Nuthatch
Taughannock Falls SP,American Goldfinch
Taughannock Falls SP,Northern Cardinal
Taughannock Falls SP,Mourning Dove
Taughannock Falls SP,Great Black-backed Gull
Taughannock Falls SP,Green Heron
Taughannock Falls SP,Northern Flicker
Taughannock Falls SP,European Starling
Taughannock Falls SP,Cedar Waxwing
Taughannock Falls SP,Nashville Warbler
Taughannock Falls SP,Cooper's Hawk
Taughannock Falls SP,Carolina Wren
Taughannock Falls SP,Red-bellied Woodpecker
Taughannock Falls SP,Bonaparte's Gull
Taughannock Falls SP,Larus sp.
Taughannock Falls SP,Belted Kingfisher
Taughannock Falls SP,Eastern Wood-Pewee
Taughannock Falls SP,Barn Swallow
Taughannock Falls SP,Gray Catbird
Taughannock Falls SP,House Finch
Taughannock Falls SP,White-throated Sparrow
Taughannock Falls SP,Eastern Towhee
Taughannock Falls SP,Rock Pigeon
Taughannock Falls SP,Ruby-throated Hummingbird
Taughannock Falls SP,Eastern Phoebe
Taughannock Falls SP,Warbling Vireo
Taughannock Falls SP,Red-eyed Vireo
Taughannock Falls SP,Red-breasted Nuthatch
Taughannock Falls SP,American Robin
Taughannock Falls SP,Chipping Sparrow
Taughannock Falls SP,Song Sparrow
Taughannock Falls SP,Baltimore Oriole
Taughannock Falls SP,Red-winged Blackbird
Taughannock Falls SP,Common Yellowthroat
Taughannock Falls SP,Great Crested Flycatcher
Taughannock Falls SP,Northern Mockingbird
Taughannock Falls SP,Black-throated Green Warbler
Taughannock Falls SP,Great Blue Heron
Taughannock Falls SP,Yellow-bellied Sapsucker
Taughannock Falls SP,Northern Rough-winged Swallow
Taughannock Falls SP,Common Grackle
Taughannock Falls SP,American Redstart
Taughannock Falls SP,Yellow-throated Vireo
Taughannock Falls SP,Tree Swallow
Taughannock Falls SP,Orchard Oriole
Taughannock Falls SP,Yellow Warbler
